state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
UT,83,area_code_510,no,no,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13.0,5,3.51,1,671.6,271,64.92999999999999,no
DC,151,area_code_415,no,yes,27,154.4,141,26.25,210.6,109,17.9,167.9,109,7.56,7.8,3,2.11,3,532.9,359,51.71,no
MT,146,area_code_415,no,no,0,214.8,86,36.52,230.9,94,19.63,223.8,100,10.07,5.8,3,1.57,3,669.5,280,66.22,no
MI,115,area_code_415,no,yes,26,155.2,110,26.38,230.9,133,19.63,261.6,100,11.77,4.5,4,1.22,0,647.7,343,57.78,no
NJ,172,area_code_510,no,no,0,290.5,123,49.39,253.0,77,21.51,159.3,96,7.17,11.3,5,3.05,2,702.8,296,78.07000000000001,yes
WI,69,area_code_510,yes,no,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,10,2.27,2,699.5,299,76.4,yes
CT,163,area_code_408,no,yes,40,231.9,56,39.42,211.8,91,18.0,268.5,74,12.08,12.3,3,3.32,2,712.2,221,69.5,no
KS,18,area_code_510,no,no,0,180.2,115,30.63,83.4,114,7.09,245.3,111,11.04,11.9,6,3.21,1,508.90000000000003,340,48.76,no
SD,131,area_code_510,no,no,0,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2,591.0,336,58.1,no
NJ,83,area_code_408,no,no,0,48.4,105,8.23,139.7,86,11.87,154.1,80,6.93,11.5,4,3.11,2,342.2,271,27.03,no
ND,97,area_code_415,no,no,0,197.8,122,33.63,208.2,147,17.7,106.3,115,4.78,15.1,4,4.08,1,512.3,384,56.11,no
CT,87,area_code_510,no,yes,18,186.7,74,31.74,220.0,77,18.7,224.6,137,10.11,12.0,4,3.24,1,631.3,288,60.55,no
WA,171,area_code_415,no,no,0,232.4,101,39.51,182.0,80,15.47,271.8,133,12.23,9.5,3,2.57,0,686.2,314,67.21,no
TN,39,area_code_510,no,no,0,189.6,89,32.23,251.6,116,21.39,230.9,105,10.39,5.4,8,1.46,3,672.1,310,64.00999999999999,no
MA,116,area_code_415,no,no,0,119.0,94,20.23,144.3,110,12.27,199.7,65,8.99,8.8,5,2.38,2,463.0,269,41.49,no
MN,42,area_code_408,no,yes,34,131.5,143,22.36,185.3,109,15.75,177.3,117,7.98,10.9,5,2.94,0,494.1,369,46.09,no
ME,175,area_code_415,no,no,0,132.0,95,22.44,231.2,74,19.65,313.4,108,14.1,8.7,10,2.35,1,676.5999999999999,277,56.190000000000005,no
NY,81,area_code_408,no,yes,36,164.8,106,28.02,210.2,138,17.87,173.6,78,7.81,4.3,2,1.16,2,548.6,322,53.7,no
IL,179,area_code_510,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,499.79999999999995,303,45.08,no
NH,82,area_code_408,no,no,0,156.0,94,26.52,295.6,118,25.13,196.9,84,8.86,14.3,3,3.86,0,648.5,296,60.51,no
ME,92,area_code_415,yes,no,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,635.5,333,55.36,yes
MT,137,area_code_510,no,no,0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0,562.6,306,63.059999999999995,no
ND,51,area_code_510,no,no,0,95.3,103,16.2,189.3,116,16.09,238.7,110,10.74,13.6,4,3.67,1,523.3,329,43.03,no
MS,115,area_code_415,no,no,0,166.5,111,28.31,236.2,98,20.08,205.6,92,9.25,15.6,2,4.21,1,608.3,301,57.64,no
NH,119,area_code_408,no,no,0,215.1,105,36.57,249.4,104,21.2,249.9,83,11.25,10.8,8,2.92,2,714.4,292,69.02,no
ID,151,area_code_415,no,no,0,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,712.1,291,68.11,no
DC,78,area_code_415,yes,no,0,176.6,107,30.02,179.4,98,15.25,178.2,80,8.02,16.6,5,4.48,2,534.2,285,53.28999999999999,yes
ID,125,area_code_408,no,no,0,175.9,98,29.9,192.8,148,16.39,278.2,110,12.52,10.6,5,2.86,0,646.9000000000001,356,58.81,no
VT,120,area_code_415,no,no,0,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,9.3,7,2.51,0,600.4000000000001,284,65.39,no
IN,63,area_code_510,no,no,0,6.6,107,1.12,359.3,142,30.54,252.5,131,11.36,5.6,3,1.51,0,618.4000000000001,380,43.019999999999996,no
AL,32,area_code_510,no,no,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,572.3,230,62.11,no
TX,64,area_code_415,no,no,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,526.9,308,52.4,no
MO,161,area_code_510,no,no,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,608.8,290,62.83,no
MA,71,area_code_510,no,no,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,807.5999999999999,326,82.79999999999998,yes
TX,110,area_code_415,no,yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,615.7,296,65.08,no
MT,88,area_code_408,no,no,0,242.4,89,41.21,161.4,89,13.72,142.4,95,6.41,5.4,2,1.46,1,546.2,273,61.34,no
CO,135,area_code_415,yes,no,0,177.2,151,30.12,209.3,83,17.79,236.3,114,10.63,11.1,5,3.0,2,622.8,348,58.54,no
TN,33,area_code_415,no,yes,35,186.8,124,31.76,261.0,69,22.19,317.8,103,14.3,15.0,5,4.05,0,765.6,296,68.25,no
DE,54,area_code_415,yes,no,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,643.5,246,65.34,no
VA,139,area_code_415,yes,no,0,161.5,121,27.46,192.9,137,16.4,168.3,96,7.57,11.2,13,3.02,0,522.7,354,51.43,no
SC,78,area_code_415,no,no,0,109.5,105,18.62,286.1,90,24.32,247.6,113,11.14,4.9,9,1.32,1,643.2,308,54.08,no
GA,93,area_code_415,no,no,0,179.5,121,30.52,191.9,131,16.31,165.5,125,7.45,12.0,4,3.24,0,536.9,377,54.28,no
ME,35,area_code_408,no,no,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,565.8,339,53.81,no
LA,99,area_code_415,no,no,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,584.9,279,62.69,no
WY,93,area_code_408,no,yes,42,166.9,101,28.37,273.2,84,23.22,171.0,106,7.69,11.5,1,3.11,1,611.1,291,59.28,no
NC,149,area_code_510,no,no,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,519.8000000000001,280,57.230000000000004,no
MA,61,area_code_415,no,yes,28,239.9,110,40.78,218.9,87,18.61,166.0,46,7.47,12.1,4,3.27,1,624.8,243,66.86,no
ID,74,area_code_415,no,no,0,221.1,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,2.86,0,572.0,330,57.81,no
ND,88,area_code_415,no,no,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,541.2,295,51.49,no
MO,120,area_code_408,no,no,0,121.0,139,20.57,270.4,121,22.98,141.0,90,6.35,5.3,8,1.43,1,532.4,350,49.9,no
OH,109,area_code_415,no,no,0,193.6,58,32.91,148.7,115,12.64,282.5,105,12.71,13.1,1,3.54,2,624.8,278,58.26,no
MS,158,area_code_510,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,552.5,291,54.379999999999995,no
MO,22,area_code_408,no,yes,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,486.59999999999997,294,55.660000000000004,no
RI,74,area_code_415,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,547.1,369,54.62,no
NE,61,area_code_408,no,no,0,267.1,104,45.41,180.4,131,15.33,230.6,106,10.38,17.3,4,4.67,1,678.1,341,71.11999999999999,yes
ID,82,area_code_415,no,no,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11.0,6,2.97,3,748.3,256,76.22,yes
NC,85,area_code_510,no,no,0,183.4,111,31.18,168.8,98,14.35,199.7,97,8.99,9.9,4,2.67,4,551.9000000000001,306,54.52,no
PA,91,area_code_415,no,no,0,139.8,109,23.77,157.0,91,13.35,218.6,122,9.84,13.6,4,3.67,3,515.4,322,46.959999999999994,no
MN,161,area_code_408,no,no,0,252.3,120,42.89,243.8,98,20.72,284.4,96,12.8,9.2,2,2.48,1,780.5,314,76.41,yes
MA,120,area_code_415,no,no,0,137.3,100,23.34,212.2,129,18.04,152.7,92,6.87,10.5,2,2.84,1,502.2,321,48.24999999999999,no
GA,108,area_code_415,no,yes,15,196.8,79,33.46,173.5,99,14.75,274.7,108,12.36,14.6,5,3.94,1,645.0,286,60.57,no
WV,112,area_code_415,yes,no,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,496.8,386,50.629999999999995,no
MA,113,area_code_510,no,no,0,193.1,93,32.83,206.4,85,17.54,215.9,102,9.72,11.1,2,3.0,1,615.4,280,60.089999999999996,no
IN,32,area_code_415,no,no,0,103.6,78,17.61,238.5,115,20.27,186.9,70,8.41,11.0,4,2.97,2,529.0,263,46.28999999999999,no
MD,103,area_code_415,yes,no,0,133.2,90,22.64,236.8,70,20.13,214.1,120,9.63,12.5,2,3.38,1,584.1,280,52.4,yes
MD,147,area_code_408,no,no,0,274.0,92,46.58,231.8,82,19.7,283.6,83,12.76,6.2,1,1.67,0,789.4000000000001,257,79.04,yes
MS,73,area_code_415,no,yes,31,82.3,105,13.99,256.1,91,21.77,229.6,98,10.33,11.8,2,3.19,6,568.0,294,46.089999999999996,yes
MN,95,area_code_415,no,no,0,149.2,96,25.36,260.7,116,22.16,201.0,120,9.05,8.1,2,2.19,1,610.9,332,56.56999999999999,no
MN,49,area_code_415,no,no,0,171.5,86,29.16,188.8,85,16.05,155.1,82,6.98,8.5,2,2.3,2,515.4,253,52.19,no
NV,115,area_code_415,no,no,0,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,1,683.5,340,74.78,yes
DC,69,area_code_415,no,no,0,111.7,86,18.99,187.5,68,15.94,194.8,128,8.77,11.6,10,3.13,2,494.0,282,43.7,no
IN,94,area_code_408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,502.5,290,48.55,yes
KY,55,area_code_415,no,yes,37,197.5,89,33.58,228.7,141,19.44,313.4,121,14.1,19.7,2,5.32,1,739.5999999999999,351,67.11999999999999,no
DE,114,area_code_415,no,yes,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13.0,4,3.51,0,554.6,304,60.03,no
NJ,135,area_code_415,no,no,0,191.7,125,32.59,284.2,100,24.16,211.7,87,9.53,12.5,2,3.38,0,687.5999999999999,312,66.28,no
GA,18,area_code_408,no,no,0,197.0,97,33.49,203.7,107,17.31,202.0,105,9.09,8.7,3,2.35,3,602.7,309,59.89,no
AR,135,area_code_510,no,yes,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,6,3.32,1,673.2,352,70.63,no
PA,129,area_code_510,no,yes,32,211.0,99,35.87,155.1,89,13.18,234.8,96,10.57,11.4,5,3.08,1,600.9000000000001,284,59.62,no
RI,111,area_code_415,no,no,0,229.4,107,39.0,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,733.1,301,70.23,no
IA,86,area_code_408,no,no,0,126.3,115,21.47,168.8,112,14.35,154.6,95,6.96,9.8,7,2.65,2,449.70000000000005,322,42.78,no
NV,92,area_code_415,no,yes,44,152.0,95,25.84,274.9,73,23.37,162.4,121,7.31,10.0,1,2.7,2,589.3,289,56.52,no
MO,160,area_code_415,no,no,0,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13.0,3,3.51,2,592.9,316,57.81999999999999,no
OR,149,area_code_415,yes,no,0,176.2,87,29.95,145.0,81,12.33,249.5,92,11.23,5.7,4,1.54,0,570.7,260,53.510000000000005,no
AR,87,area_code_408,no,no,0,185.8,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1,578.1,298,56.94,no
KS,57,area_code_415,no,no,0,158.1,117,26.88,115.2,149,9.79,182.4,92,8.21,11.8,7,3.19,0,455.70000000000005,358,44.88,no
IA,75,area_code_415,no,no,0,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3.0,1,507.29999999999995,299,46.269999999999996,no
CT,48,area_code_415,no,no,0,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2,470.4,326,49.019999999999996,no
MT,95,area_code_510,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,596.5,278,56.32,no
NV,124,area_code_408,no,no,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,593.9,320,53.11000000000001,no
MD,79,area_code_415,no,yes,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12.0,4,3.24,1,759.8,258,74.32,no
NV,88,area_code_415,no,no,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4,588.7,280,54.5,yes
SD,52,area_code_510,yes,no,0,251.4,118,42.74,196.6,80,16.71,192.0,53,8.64,11.0,2,2.97,0,640.0,251,68.09,yes
ID,169,area_code_415,no,no,0,235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1,593.5,261,61.65,no
AL,42,area_code_510,no,no,0,160.2,103,27.23,159.8,116,13.58,255.7,87,11.51,12.9,3,3.48,1,575.7,306,52.32,no
OK,110,area_code_510,no,no,0,281.2,78,47.8,302.3,89,25.7,188.4,92,8.48,8.5,4,2.3,0,771.9,259,81.98,yes
WA,51,area_code_408,no,no,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,651.0,311,65.84,no
OR,153,area_code_415,no,no,0,202.2,132,34.37,158.9,78,13.51,111.4,98,5.01,8.6,4,2.32,2,472.5,308,52.88999999999999,no
NV,144,area_code_415,yes,no,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,626.5,263,58.379999999999995,no
DC,170,area_code_510,no,no,0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2,613.3,309,58.81,no
TN,89,area_code_415,no,no,0,208.4,112,35.43,189.5,116,16.11,264.4,101,11.9,16.8,1,4.54,0,662.3,329,63.44,yes
NV,180,area_code_510,no,no,0,139.0,96,23.63,224.9,64,19.12,170.8,118,7.69,15.7,5,4.24,2,534.7,278,50.44,no
NC,26,area_code_415,no,no,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,642.6,332,66.89,no
CO,125,area_code_408,no,yes,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1,506.8,319,46.98,no
NM,93,area_code_415,no,no,0,239.8,70,40.77,251.8,99,21.4,168.6,112,7.59,10.9,10,2.94,1,660.2,281,69.76,no
KY,94,area_code_408,no,no,0,139.1,93,23.65,237.9,100,20.22,227.1,59,10.22,11.4,3,3.08,1,604.1,252,54.089999999999996,no
OK,88,area_code_408,yes,no,0,132.9,132,22.59,208.2,82,17.7,260.5,42,11.72,14.4,11,3.89,2,601.6,256,52.01,yes
TX,92,area_code_510,no,no,0,240.2,86,40.83,107.6,79,9.15,156.6,121,7.05,7.5,4,2.03,1,504.4,286,57.029999999999994,no
MN,152,area_code_415,yes,yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,756.0999999999999,294,73.85,yes
VT,74,area_code_415,no,yes,24,124.2,146,21.11,266.2,84,22.63,156.7,108,7.05,11.5,6,3.11,3,547.0999999999999,338,50.78999999999999,no
MA,111,area_code_415,no,no,0,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,684.2,293,72.63,yes
NH,95,area_code_510,no,no,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,508.20000000000005,304,47.730000000000004,no
WA,113,area_code_408,no,no,0,161.1,133,27.39,205.3,95,17.45,60.3,93,2.71,12.2,2,3.29,2,426.7,321,47.550000000000004,no
MO,80,area_code_408,yes,yes,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,471.09999999999997,312,47.93,no
IN,76,area_code_415,no,yes,35,273.7,94,46.53,153.3,101,13.03,259.0,109,11.66,3.8,3,1.03,0,686.0,304,71.22,no
SD,64,area_code_415,no,no,0,174.5,98,29.67,180.2,103,15.32,179.0,89,8.06,10.7,2,2.89,2,533.7,290,53.050000000000004,no
UT,36,area_code_415,no,yes,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,413.90000000000003,311,42.56999999999999,no
IL,87,area_code_408,yes,yes,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,584.6,337,55.13,no
ME,151,area_code_415,no,yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,594.1,333,58.33,no
CA,175,area_code_510,no,no,0,161.2,121,27.4,136.7,109,11.62,103.3,63,4.65,9.6,9,2.59,1,401.2,293,43.669999999999995,no
ID,78,area_code_415,no,no,0,103.5,115,17.6,117.9,102,10.02,201.0,94,9.05,12.0,3,3.24,4,422.4,311,36.67,yes
LA,150,area_code_415,no,no,0,136.6,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4,507.1,271,48.269999999999996,yes
WI,119,area_code_415,no,no,0,37.4,102,6.36,182.3,115,15.5,191.9,100,8.64,8.3,5,2.24,2,411.6,317,30.5,no
MD,83,area_code_408,no,yes,38,107.9,90,18.34,140.4,94,11.93,253.6,79,11.41,10.5,2,2.84,0,501.9,263,41.68,no
NC,43,area_code_415,no,no,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,361.1,316,30.0,no
ME,146,area_code_415,no,no,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,656.2,365,59.339999999999996,no
NH,116,area_code_408,no,yes,24,183.6,138,31.21,203.8,90,17.32,166.9,89,7.51,6.0,3,1.62,2,554.3,317,56.04,no
VT,63,area_code_415,no,no,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,579.7,314,52.239999999999995,no
NE,80,area_code_415,no,no,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2,506.7,242,46.050000000000004,no
PA,137,area_code_415,no,no,0,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27,1,548.2,323,57.47,no
TX,46,area_code_415,no,no,0,230.7,117,39.22,186.2,84,15.83,182.2,109,8.2,9.2,4,2.48,2,599.0999999999999,310,63.25,no
OR,21,area_code_510,no,yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,586.0,263,54.2,no
VA,182,area_code_408,no,yes,24,215.2,73,36.58,133.1,85,11.31,205.1,79,9.23,10.9,7,2.94,0,553.4,237,57.120000000000005,no
NY,163,area_code_408,no,no,0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0,684.5,267,72.55,yes
NC,64,area_code_408,no,yes,19,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,545.0,316,52.14,no
NJ,93,area_code_415,no,no,0,146.3,85,24.87,216.6,95,18.41,233.0,82,10.49,11.5,3,3.11,0,595.9,262,53.77,no
WV,113,area_code_510,no,no,0,72.5,88,12.33,204.0,112,17.34,117.9,118,5.31,6.6,3,1.78,1,394.4,318,34.980000000000004,no
OR,136,area_code_415,no,yes,23,235.6,65,40.05,177.7,81,15.1,138.7,105,6.24,11.3,5,3.05,1,552.0,251,61.39,no
ME,23,area_code_510,no,no,0,113.1,74,19.23,168.8,95,14.35,262.9,126,11.83,6.9,2,1.86,1,544.8,295,45.41,yes
RI,115,area_code_408,no,no,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,676.0,316,58.04,no
NY,64,area_code_408,no,no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,677.4,291,70.06,no
OH,134,area_code_408,no,no,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,681.5,303,65.00999999999999,no
AL,106,area_code_415,no,no,0,222.1,123,37.76,276.8,92,23.53,213.5,99,9.61,9.0,3,2.43,0,712.4,314,70.9,no
HI,63,area_code_415,no,no,0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3.0,0,551.2,258,47.32,no
PA,92,area_code_510,no,no,0,185.9,111,31.6,216.8,93,18.43,231.0,58,10.4,8.5,2,2.3,1,633.7,262,60.43,no
NJ,72,area_code_415,no,no,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,550.7,319,52.02,no
WA,40,area_code_415,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,531.7,264,49.220000000000006,no
ME,137,area_code_510,no,no,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,503.2,254,45.39,no
NM,174,area_code_415,no,no,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,533.3,312,61.42999999999999,no
NV,94,area_code_510,no,no,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,487.59999999999997,300,51.85999999999999,no
AK,138,area_code_415,no,yes,37,75.8,102,12.89,173.6,147,14.76,162.6,96,7.32,8.2,13,2.21,0,412.0,345,34.97,no
NE,96,area_code_415,no,no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,667.1,331,60.230000000000004,yes
LA,155,area_code_415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,590.3,323,59.63,yes
VT,126,area_code_415,no,no,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,575.4,312,59.78,no
TX,145,area_code_415,no,no,0,187.9,110,31.94,197.0,117,16.75,167.0,108,7.52,4.8,4,1.3,2,551.9,335,56.209999999999994,no
NY,90,area_code_415,no,no,0,180.0,58,30.6,229.4,88,19.5,162.2,110,7.3,13.2,9,3.56,1,571.5999999999999,256,57.4,no
DE,119,area_code_415,no,no,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,606.1,248,58.37,no
NV,22,area_code_510,no,no,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,571.4,311,54.49,no
AL,125,area_code_408,no,no,0,169.3,90,28.78,156.0,138,13.26,210.8,106,9.49,11.6,6,3.13,2,536.1,334,51.53,no
MO,109,area_code_415,no,no,0,200.1,72,34.02,300.9,120,25.58,236.0,68,10.62,11.9,5,3.21,0,737.0,260,70.22,no
NJ,160,area_code_415,no,no,0,118.9,106,20.21,163.5,75,13.9,195.0,131,8.78,13.1,4,3.54,0,477.4,312,42.89,no
NE,115,area_code_415,no,no,0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1,482.70000000000005,287,44.2,no
FL,120,area_code_415,no,yes,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,610.0,255,55.4,no
MT,117,area_code_510,no,no,0,180.6,134,30.7,216.6,96,18.41,101.0,122,4.55,10.6,6,2.86,4,498.2,352,53.66,yes
WY,43,area_code_415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,622.1,276,67.94999999999999,no
CA,96,area_code_415,no,no,0,183.9,88,31.26,109.2,86,9.28,190.2,78,8.56,16.6,7,4.48,2,483.3,252,49.1,no
DC,144,area_code_415,no,no,0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0,617.4,296,54.669999999999995,no
CA,67,area_code_510,no,no,0,102.8,93,17.48,137.8,91,11.71,158.9,110,7.15,8.9,5,2.4,1,399.5,294,36.34,no
VA,21,area_code_415,no,no,0,223.2,142,37.94,216.5,114,18.4,214.7,111,9.66,12.4,2,3.35,1,654.4,367,66.0,no
NV,138,area_code_408,no,no,0,180.5,82,30.69,242.4,103,20.6,244.4,89,11.0,10.3,7,2.78,2,667.3,274,62.290000000000006,no
OH,32,area_code_415,no,yes,31,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13.0,2,3.51,0,623.1,319,64.49,no
CO,54,area_code_510,no,yes,39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,513.1999999999999,255,44.16,no
TX,50,area_code_510,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,544.6,322,56.269999999999996,no
MD,79,area_code_510,no,yes,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,8,3.29,3,422.5,317,41.629999999999995,no
NM,96,area_code_415,no,yes,33,183.3,115,31.16,201.4,87,17.12,177.4,84,7.98,10.4,15,2.81,3,562.1,286,56.260000000000005,no
ID,71,area_code_415,no,no,0,212.1,114,36.06,235.9,91,20.05,207.7,135,9.35,11.3,5,3.05,4,655.7,340,65.46,no
WY,99,area_code_408,no,yes,28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,637.5999999999999,306,64.35,no
UT,74,area_code_415,no,no,0,106.4,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,337.5,269,34.099999999999994,no
CO,86,area_code_408,no,no,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1,612.9,258,61.120000000000005,no
NE,86,area_code_408,no,no,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,482.6,325,41.81,no
TN,112,area_code_415,no,no,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,657.7,307,72.71,yes
NM,20,area_code_408,no,no,0,131.5,64,22.36,161.8,124,13.75,158.6,106,7.14,14.8,5,4.0,0,451.9,294,43.25,no
WY,106,area_code_415,yes,yes,26,270.3,111,45.95,215.2,90,18.29,254.0,133,11.43,14.4,7,3.89,1,739.5,334,75.67000000000002,yes
PA,142,area_code_510,no,yes,40,230.7,101,39.22,256.8,88,21.83,263.9,92,11.88,6.4,3,1.73,1,751.4,281,72.92999999999999,no
WA,49,area_code_510,no,yes,42,159.0,67,27.03,126.3,125,10.74,206.8,88,9.31,7.4,3,2.0,2,492.1,280,47.080000000000005,no
NJ,121,area_code_415,no,no,0,166.3,114,28.27,138.8,130,11.8,215.3,108,9.69,10.4,10,2.81,2,520.4000000000001,352,49.76,no
WA,45,area_code_510,no,no,0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2.0,1,450.09999999999997,327,37.57,yes
AL,151,area_code_408,no,yes,27,166.4,112,28.29,234.3,116,19.92,161.1,95,7.25,5.5,2,1.49,0,561.8000000000001,323,55.46,no
WY,97,area_code_510,yes,no,0,236.9,107,40.27,157.6,105,13.4,241.0,120,10.85,7.3,2,1.97,0,635.5,332,64.52,yes
